-0.39175,-1.03300
0.41147,0.76392
-0.41574,-0.61322
2.05406,-1.09686
-0.05743,0.45918
0.51092,1.52191
0.53046,-3.78004
-0.89345,2.22645
0.42131,0.51681
0.41665,0.95552
-0.47020,-0.85642
-0.52046,0.09209
-0.56201,-0.66773
-0.91891,1.35235
-0.70768,0.36239
0.49133,0.23078
-0.40950,-1.18407
0.00607,-1.77456
-1.27100,0.93743
3.31181,-2.74573
-0.39241,-0.32530
0.40783,0.88617
-4.36410,-1.11352
-0.44094,-0.82763
-0.38620,-1.02778
-0.36643,-0.31336
0.41995,1.10480
-1.08982,-1.11718
-0.46940,-0.23354
-0.52716,-1.00865
1.23429,1.66923
1.08676,-3.06740